clip_id,source_id,clip_path,preview_path,event_likelihood_score,event_likelihood_level,hardcase_tags,selection_reason,manual_review_status,manual_review_label,manual_review_notes
LF_ZmCAo38w_C025,LF_ZmCAo38w,data/clips/LF_ZmCAo38w_C025.mp4,data/processed/selection/previews/LF_ZmCAo38w_C025.jpg,0.562390,HIGH,SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C173,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C173.mp4,data/processed/selection/previews/interrupted_2026-09-17_C173.jpg,0.393272,HIGH,,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C204,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C204.mp4,data/processed/selection/previews/interrupted_2026-09-17_C204.jpg,0.352442,MEDIUM,SMALL_FAR|CROWDED|FAST_MOTION,source_coverage=interrupted_2026-09-17; event_likelihood=MEDIUM; hardcase=SMALL_FAR|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C208,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C208.mp4,data/processed/selection/previews/interrupted_2026-09-17_C208.jpg,0.351849,MEDIUM,SMALL_FAR|CROWDED,source_coverage=interrupted_2026-09-17; event_likelihood=MEDIUM; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
LF_ZmCAo38w_C038,LF_ZmCAo38w,data/clips/LF_ZmCAo38w_C038.mp4,data/processed/selection/previews/LF_ZmCAo38w_C038.jpg,0.351276,MEDIUM,SMALL_FAR|CROWDED,source_coverage=LF_ZmCAo38w; event_likelihood=MEDIUM; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C146,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C146.mp4,data/processed/selection/previews/interrupted_2026-09-17_C146.jpg,0.350892,MEDIUM,SMALL_FAR|CROWDED,source_coverage=interrupted_2026-09-17; event_likelihood=MEDIUM; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
YppQ6BEHAKY_C041,YppQ6BEHAKY,data/clips/YppQ6BEHAKY_C041.mp4,data/processed/selection/previews/YppQ6BEHAKY_C041.jpg,0.371271,HIGH,SMALL_FAR,source_coverage=YppQ6BEHAKY; event_likelihood=HIGH; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C154,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C154.mp4,data/processed/selection/previews/interrupted_2026-09-17_C154.jpg,0.349725,MEDIUM,,source_coverage=interrupted_2026-09-17; event_likelihood=MEDIUM; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
YppQ6BEHAKY_C044,YppQ6BEHAKY,data/clips/YppQ6BEHAKY_C044.mp4,data/processed/selection/previews/YppQ6BEHAKY_C044.jpg,0.346274,MEDIUM,,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
YppQ6BEHAKY_C061,YppQ6BEHAKY,data/clips/YppQ6BEHAKY_C061.mp4,data/processed/selection/previews/YppQ6BEHAKY_C061.jpg,0.340038,MEDIUM,SMALL_FAR,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
YppQ6BEHAKY_C054,YppQ6BEHAKY,data/clips/YppQ6BEHAKY_C054.mp4,data/processed/selection/previews/YppQ6BEHAKY_C054.jpg,0.336711,MEDIUM,SMALL_FAR,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
YppQ6BEHAKY_C021,YppQ6BEHAKY,data/clips/YppQ6BEHAKY_C021.mp4,data/processed/selection/previews/YppQ6BEHAKY_C021.jpg,0.337124,MEDIUM,SMALL_FAR,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
YppQ6BEHAKY_C012,YppQ6BEHAKY,data/clips/YppQ6BEHAKY_C012.mp4,data/processed/selection/previews/YppQ6BEHAKY_C012.jpg,0.339984,MEDIUM,,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C037,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C037.mp4,data/processed/selection/previews/interrupted_2026-09-17_C037.jpg,0.343102,MEDIUM,,source_coverage=interrupted_2026-09-17; event_likelihood=MEDIUM; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
YppQ6BEHAKY_C065,YppQ6BEHAKY,data/clips/YppQ6BEHAKY_C065.mp4,data/processed/selection/previews/YppQ6BEHAKY_C065.jpg,0.316759,MEDIUM,SMALL_FAR,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
YppQ6BEHAKY_C056,YppQ6BEHAKY,data/clips/YppQ6BEHAKY_C056.mp4,data/processed/selection/previews/YppQ6BEHAKY_C056.jpg,0.325575,MEDIUM,SMALL_FAR,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C056,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C056.mp4,data/processed/selection/previews/interrupted_2026-09-17_C056.jpg,0.338562,MEDIUM,,source_coverage=interrupted_2026-09-17; event_likelihood=MEDIUM; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
YppQ6BEHAKY_C046,YppQ6BEHAKY,data/clips/YppQ6BEHAKY_C046.mp4,data/processed/selection/previews/YppQ6BEHAKY_C046.jpg,0.321929,MEDIUM,SMALL_FAR,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C084,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C084.mp4,data/processed/selection/previews/interrupted_2026-09-17_C084.jpg,0.312830,MEDIUM,,source_coverage=interrupted_2026-09-17; event_likelihood=MEDIUM; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C291,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C291.mp4,data/processed/selection/previews/interrupted_2026-09-17_C291.jpg,0.280873,MEDIUM,,source_coverage=interrupted_2026-09-17; event_likelihood=MEDIUM; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
YppQ6BEHAKY_C050,YppQ6BEHAKY,data/clips/YppQ6BEHAKY_C050.mp4,data/processed/selection/previews/YppQ6BEHAKY_C050.jpg,0.303836,MEDIUM,,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C224,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C224.mp4,data/processed/selection/previews/interrupted_2026-09-17_C224.jpg,0.211740,LOW,SMALL_FAR|CROWDED,source_coverage=interrupted_2026-09-17; event_likelihood=LOW; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C214,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C214.mp4,data/processed/selection/previews/interrupted_2026-09-17_C214.jpg,0.227826,LOW,SMALL_FAR,source_coverage=interrupted_2026-09-17; event_likelihood=LOW; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C221,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C221.mp4,data/processed/selection/previews/interrupted_2026-09-17_C221.jpg,0.220960,LOW,SMALL_FAR,source_coverage=interrupted_2026-09-17; event_likelihood=LOW; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C258,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C258.mp4,data/processed/selection/previews/interrupted_2026-09-17_C258.jpg,0.215379,LOW,SMALL_FAR,source_coverage=interrupted_2026-09-17; event_likelihood=LOW; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
LF_ZmCAo38w_C066,LF_ZmCAo38w,data/clips/LF_ZmCAo38w_C066.mp4,data/processed/selection/previews/LF_ZmCAo38w_C066.jpg,0.230669,LOW,,source_coverage=LF_ZmCAo38w; event_likelihood=LOW; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C279,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C279.mp4,data/processed/selection/previews/interrupted_2026-09-17_C279.jpg,0.234713,LOW,SMALL_FAR,source_coverage=interrupted_2026-09-17; event_likelihood=LOW; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C044,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C044.mp4,data/processed/selection/previews/interrupted_2026-09-17_C044.jpg,0.230546,LOW,SMALL_FAR,source_coverage=interrupted_2026-09-17; event_likelihood=LOW; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C069,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C069.mp4,data/processed/selection/previews/interrupted_2026-09-17_C069.jpg,0.210876,LOW,SMALL_FAR,source_coverage=interrupted_2026-09-17; event_likelihood=LOW; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
YppQ6BEHAKY_C038,YppQ6BEHAKY,data/clips/YppQ6BEHAKY_C038.mp4,data/processed/selection/previews/YppQ6BEHAKY_C038.jpg,0.252804,MEDIUM,SMALL_FAR,source_coverage=YppQ6BEHAKY; event_likelihood=MEDIUM; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
